Actor,Tense,Mode,Kovol word,English
1s,remote past,,ototom,tie to 2 sides
2s,remote past,,ototoŋ,tie to 2 sides
3s,remote past,,ototot,tie to 2 sides
1p,remote past,,ototomuŋg,tie to 2 sides
2p,remote past,,ototomwa,tie to 2 sides
3p,remote past,,ɛtɛtɛmind,tie to 2 sides
1s,recent past,,ototogom,tie to 2 sides
2s,recent past,,ototogoŋ,tie to 2 sides
3s,recent past,,ɛtɛtɛge,tie to 2 sides
1p,recent past,,ototoŋg,tie to 2 sides
2p,recent past,,atatagama,tie to 2 sides
3p,recent past,,ototogond,tie to 2 sides
1s,future,,ɛtɛtɛnim,tie to 2 sides
2s,future,,ɛtɛtɛniŋ,tie to 2 sides
3s,future,,ɛtɛtiŋ,tie to 2 sides
1p,future,,ototug,tie to 2 sides
2p,future,,ototwa,tie to 2 sides
3p,future,,ɛtɛtis,tie to 2 sides
2s,future,imperative,ɛtɛtɛ,tie to 2 sides
2p,future,imperative,atatas,tie to 2 sides
1s,remote past,,ulumum,to stand something up
2s,remote past,,ulumuŋ,to stand something up
3s,remote past,,ulumut,to stand something up
1p,remote past,,ulumumuŋg,to stand something up
2p,remote past,,ulumumwa,to stand something up
3p,remote past,,ulumemind,to stand something up
1s,recent past,,ulugum,to stand something up
2s,recent past,,uluguŋ,to stand something up
3s,recent past,,uluge,to stand something up
1p,recent past,,ulumuŋg,to stand something up
2p,recent past,,uluguma,to stand something up
3p,recent past,,ulugund,to stand something up
1s,future,,uluminim,to stand something up
2s,future,,uluminiŋ,to stand something up
3s,future,,ulumiŋ,to stand something up
1p,future,,ulumug,to stand something up
2p,future,,ulumwa,to stand something up
3p,future,,ulumis,to stand something up
2s,future,imperative,ulume,to stand something up
2p,future,imperative,ulumas,to stand something up
1s,remote past,,sogotom,to remove everything
2s,remote past,,sogotoŋ,to remove everything
3s,remote past,,sogotot,to remove everything
1p,remote past,,sogotomuŋg,to remove everything
2p,remote past,,sogotomwa,to remove everything
3p,remote past,,sogotemind,to remove everything
1s,recent past,,sogotogom,to remove everything
2s,recent past,,sogotogoŋ,to remove everything
3s,recent past,,sogotɛge,to remove everything
1p,recent past,,sogotoŋg,to remove everything
2p,recent past,,sogotagama,to remove everything
3p,recent past,,sogotogond,to remove everything
1s,future,,sogotɛnim,to remove everything
2s,future,,sogotɛniŋ,to remove everything
3s,future,,sogotiŋ,to remove everything
1p,future,,sogotug,to remove everything
2p,future,,sogotwa,to remove everything
3p,future,,sogotis,to remove everything
2s,future,imperative,sogotɛ,to remove everything
2p,future,imperative,sogotas,to remove everything
